date,next_date,ccy,available,active,reason_unavailable,s5_lend,s5_fund,spread,ret_equity,ret_notional,pnl_usd,lend_pnl_usd,lend_pnl_rates,lend_pnl_fx,debt_cost_usd,debt_cost_interest,debt_cost_fx
2020-12-09,2020-12-16,ZAR,0,0,no_1y_5y_coverage,,0.00016789244890420596,,,,0.0,,,,,,
2020-12-16,2020-12-23,BRL,1,1,,0.052018555555555554,0.00044867740306894674,0.051569878152486606,-0.021363193720921873,-0.004272638744184375,-42726.38744184375,-77785.06260331906,72425.29797635786,-150210.36057967693,-35058.675161475316,842.7692307680845,-35901.4443922434
2020-12-16,2020-12-23,NGN,0,0,missing_curve,,0.00044867740306894674,,,,0.0,,,,,,
2020-12-16,2020-12-23,PKR,0,0,no_1y_5y_coverage,,0.00044867740306894674,,,,0.0,,,,,,
2020-12-16,2020-12-23,TRY,1,1,,0.1314,0.00044867740306894674,0.13095132259693104,0.19719083976819088,0.03943816795363817,394381.67953638174,359323.0043749064,122793.6750398241,236529.32933508232,-35058.675161475316,842.7692307680845,-35901.4443922434
2020-12-16,2020-12-23,ZAR,0,0,no_1y_5y_coverage,,0.00044867740306894674,,,,0.0,,,,,,
2020-12-23,2020-12-30,BRL,1,1,,0.0506901111111111,0.0004851218672667355,0.05020498924384437,-0.062410255247197115,-0.012482051049439422,-124820.51049439423,-39080.40153780952,57724.86244474165,-96805.26398255117,85740.1089565847,842.7692307680845,84897.33972581662
2020-12-23,2020-12-30,NGN,0,0,missing_curve,,0.0004851218672667355,,,,0.0,,,,,,
2020-12-23,2020-12-30,PKR,0,0,no_1y_5y_coverage,,0.0004851218672667355,,,,0.0,,,,,,
2020-12-23,2020-12-30,TRY,1,1,,0.12856666666666666,0.0004851218672667355,0.12808154479939993,0.147350674092195,0.029470134818439,294701.34818439,380441.4571409747,24928.29873954691,355513.1584014278,85740.1089565847,842.7692307680845,84897.33972581662
2020-12-23,2020-12-30,ZAR,0,0,no_1y_5y_coverage,,0.0004851218672667355,,,,0.0,,,,,,
2020-12-30,2021-01-06,BRL,1,1,,0.04968511111111111,1.5035286228142104e-05,0.04967007582488297,-0.1237308133978448,-0.02474616267956896,-247461.62679568958,-204666.29441504925,-62724.009133934975,-141942.28528111428,42795.33238064032,843.0769230769947,41952.255457563326
2020-12-30,2021-01-06,NGN,0,0,missing_curve,,1.5035286228142104e-05,,,,0.0,,,,,,
2020-12-30,2021-01-06,PKR,0,0,no_1y_5y_coverage,,1.5035286228142104e-05,,,,0.0,,,,,,
2020-12-30,2021-01-06,TRY,1,1,,0.12844285714285714,1.5035286228142104e-05,0.128427821856629,-0.03955867018992128,-0.007911734037984256,-79117.34037984256,-36322.00799920224,-31332.07722356543,-4989.930775636807,42795.33238064032,843.0769230769947,41952.255457563326
2020-12-30,2021-01-06,ZAR,0,0,no_1y_5y_coverage,,1.5035286228142104e-05,,,,0.0,,,,,,
2021-01-06,2021-01-13,BRL,1,1,,0.05138622222222222,-0.00011617336258907861,0.0515023955848113,-0.14491159837044823,-0.028982319674089645,-289823.19674089644,-252833.90756326728,-186263.21760035492,-66570.68996291235,36989.289177629165,844.3076923079789,36144.98148532119
2021-01-06,2021-01-13,NGN,0,0,missing_curve,,-0.00011617336258907861,,,,0.0,,,,,,
2021-01-06,2021-01-13,PKR,0,0,no_1y_5y_coverage,,-0.00011617336258907861,,,,0.0,,,,,,
